"","Name","Sex","Count2015","Count2016","total"
"250","Abel","M",3228,3015,6243
"251","Abela","F",6,5,11
"252","Abelardo","M",58,74,132
"253","Abelina","F",6,8,14
"254","Abelino","M",6,6,12
"255","Abella","F",73,78,151
"256","Abena","F",13,11,24
"257","Abenezer","M",20,13,33
"258","Aberdeen","F",18,12,30
"259","Abhay","M",38,49,87
"260","Abhi","M",14,13,27
"261","Abhigna","F",6,7,13
"262","Abhijot","M",6,6,12
"263","Abhimanyu","M",15,18,33
"264","Abhinav","M",57,67,124
"265","Abhiraj","M",6,8,14
"266","Abhiram","M",64,104,168
"267","Abhyuday","M",5,5,10
"268","Abi","F",15,25,40
"269","Abia","F",5,14,19
"270","Abiageal","F",7,6,13
"271","Abiah","F",6,9,15
"272","Abid","M",8,10,18
"273","Abie","M",6,7,13
"274","Abiel","M",71,62,133
"275","Abigael","F",42,56,98
"276","Abigaelle","F",17,17,34
"277","Abigail","F",12371,11699,24070
"278","Abigail","M",10,10,20
"279","Abigaile","F",19,17,36
"280","Abigal","F",15,12,27
"281","Abigale","F",114,106,220
"282","Abigayl","F",8,5,13
"283","Abigayle","F",108,68,176
"284","Abiha","F",11,13,24
"285","Abijah","M",10,17,27
"286","Abilene","F",69,92,161
"287","Abimael","M",46,41,87
"288","Abinav","M",6,5,11
"289","Abiola","F",6,5,11
"290","Abir","M",25,37,62
"291","Abisai","F",13,25,38
"292","Abisai","M",30,30,60
"293","Abisha","F",5,12,17
"294","Abishai","M",10,18,28
"295","Abisola","F",7,7,14
"296","Able","M",40,38,78
"297","Abner","M",199,198,397
"298","Aboubacar","M",25,17,42
"299","Abra","F",8,12,20
"300","Abrah","F",8,5,13
"301","Abraham","M",2438,2559,4997
"302","Abrahan","M",15,20,35
"303","Abrahim","M",18,25,43
"304","Abrahm","M",40,26,66
"305","Abram","M",835,856,1691
"306","Abran","M",27,20,47
"307","Abrar","F",16,15,31
"308","Abrar","M",17,15,32
"309","Abree","F",44,32,76
"310","Abri","F",15,15,30
"311","Abria","F",15,19,34
"312","Abrian","M",16,20,36
"313","Abriana","F",72,47,119
"314","Abrianna","F",128,103,231
"315","Abrie","F",22,16,38
"316","Abriel","F",16,13,29
"317","Abriel","M",39,35,74
"318","Abriela","F",5,5,10
"319","Abriella","F",139,127,266
"320","Abrielle","F",260,260,520
"321","Abril","F",274,316,590
"322","Abrina","F",6,6,12
"323","Abrish","F",29,14,43
"324","Abryana","F",9,7,16
"325","Abryanna","F",16,15,31
"326","Absalat","F",12,9,21
"327","Abshir","M",6,7,13
"328","Abu","M",7,5,12
"329","Abubakar","M",43,53,96
"330","Abubakr","M",33,33,66
"331","Aby","F",16,6,22
"332","Abyan","M",11,8,19
"333","Abygail","F",111,116,227
"334","Abygale","F",15,10,25
"335","Acacia","F",103,85,188
"336","Acadia","F",45,33,78
"337","Ace","F",7,6,13
"338","Ace","M",737,1034,1771
"339","Acelin","M",5,7,12
"340","Acelyn","F",29,24,53
"341","Acelynn","F",74,56,130
"342","Acen","M",30,39,69
"343","Aceson","M",20,51,71
"344","Acesyn","M",5,7,12
"345","Aceton","M",13,5,18
"346","Acey","F",5,6,11
"347","Aceyn","M",8,19,27
"348","Acheron","M",6,10,16
"349","Achilles","M",212,226,438
"350","Achillies","M",14,7,21
"351","Achol","F",10,5,15
"352","Achyut","M",5,9,14
"353","Achyuth","M",5,5,10
"354","Acie","M",7,7,14
"355","Ackley","M",7,7,14
"356","Acsa","F",6,7,13
"357","Acxel","M",6,8,14
"358","Ada","F",916,959,1875
"359","Adabella","F",13,12,25
"360","Adabelle","F",24,21,45
"361","Adael","M",24,32,56
"362","Adaeze","F",24,16,40
"363","Adah","F",90,81,171
"364","Adahlia","F",15,16,31
"365","Adaia","F",17,23,40
"366","Adaiah","F",31,24,55
"367","Adain","M",9,5,14
"368","Adair","F",20,20,40
"369","Adair","M",56,33,89
"370","Adaira","F",10,15,25
"371","Adalae","F",34,17,51
"372","Adalai","F",8,10,18
"373","Adalaide","F",20,29,49
"374","Adalay","F",14,22,36
"375","Adalaya","F",17,10,27
"376","Adalberto","M",29,22,51
"377","Adalea","F",6,9,15
"378","Adaleah","F",14,15,29
"379","Adalee","F",225,217,442
"380","Adaleen","F",13,14,27
"381","Adaleena","F",14,12,26
"382","Adalei","F",16,13,29
"383","Adaleia","F",6,5,11
"384","Adaleigh","F",126,128,254
"385","Adalen","F",7,6,13
"386","Adalena","F",42,38,80
"387","Adalene","F",46,34,80
"388","Adaley","F",30,27,57
"389","Adaleyza","F",7,8,15
"390","Adali","F",28,38,66
"391","Adalia","F",111,85,196
"392","Adaliah","F",18,12,30
"393","Adalida","F",12,24,36
"394","Adalie","F",150,143,293
"395","Adalin","F",33,40,73
"396","Adalina","F",131,153,284
"397","Adalind","F",89,123,212
"398","Adaline","F",902,1873,2775
"399","Adalinn","F",9,8,17
"400","Adalis","F",12,6,18
"401","Adalise","F",9,9,18
"402","Adaliyah","F",8,7,15
"403","Adaliz","F",22,13,35
"404","Adaly","F",61,58,119
"405","Adalyn","F",2452,2176,4628
"406","Adalyna","F",17,6,23
"407","Adalynd","F",12,14,26
"408","Adalyne","F",67,94,161
"409","Adalynn","F",2614,2585,5199
"410","Adalynne","F",107,107,214
"411","Adam","F",6,6,12
"412","Adam","M",5380,5176,10556
"413","Adama","F",24,19,43
"414","Adama","M",15,15,30
"415","Adamae","F",10,9,19
"416","Adamari","F",63,43,106
"417","Adamarie","F",10,6,16
"418","Adamaris","F",64,39,103
"419","Adamariz","F",8,12,20
"420","Adamary","F",8,12,20
"421","Adams","M",11,18,29
"422","Adan","F",12,7,19
"423","Adan","M",784,815,1599
"424","Adanna","F",17,31,48
"425","Adannaya","F",10,5,15
"426","Adanya","F",16,8,24
"427","Adaora","F",12,12,24
"428","Adar","M",5,5,10
"429","Adara","F",74,56,130
"430","Adarian","M",9,13,22
"431","Adarius","M",20,25,45
"432","Adarsh","M",20,23,43
"433","Adasyn","F",15,9,24
"434","Adaya","F",31,35,66
"435","Adayah","F",15,10,25
"436","Addalee","F",18,22,40
"437","Addaleigh","F",7,19,26
"438","Addalie","F",9,13,22
"439","Addaline","F",18,41,59
"440","Addalyn","F",255,256,511
"441","Addalyne","F",12,15,27
"442","Addalynn","F",218,216,434
"443","Addalynne","F",22,14,36
"444","Addasyn","F",6,6,12
"445","Addeline","F",36,51,87
"446","Addelyn","F",214,193,407
"447","Addelynn","F",81,84,165
"448","Addi","F",13,23,36
"449","Addicus","M",8,12,20
"450","Addie","F",226,181,407
"451","Addiel","M",12,6,18
"452","Addielynn","F",7,5,12
"453","Addilee","F",14,17,31
"454","Addileigh","F",5,5,10
"455","Addiline","F",6,7,13
"456","Addilyn","F",972,1033,2005
"457","Addilyne","F",8,12,20
"458","Addilynn","F",386,486,872
"459","Addilynne","F",15,10,25
"460","Addis","M",7,13,20
"461","Addisen","F",27,43,70
"462","Addison","F",6706,6295,13001
"463","Addison","M",153,153,306
"464","Addisyn","F",515,498,1013
"465","Addisynn","F",11,17,28
"466","Addley","F",19,24,43
"467","Addlyn","F",7,8,15
"468","Addlynn","F",8,7,15
"469","Addy","F",41,53,94
"470","Addylin","F",17,21,38
"471","Addyline","F",6,11,17
"472","Addylyn","F",6,9,15
"473","Addylynn","F",11,11,22
"474","Addysen","F",46,40,86
"475","Addysin","F",12,9,21
"476","Addyson","F",708,677,1385
